quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2020-12-31,0.24670000000000003,3.97,2020-10-01,2020,10,Q4
2020-09-30,0.3066,1.03,2020-07-01,2020,7,Q3
2020-06-30,0.24050000000000002,0.8,2020-04-01,2020,4,Q2
2020-03-31,0.3626,3.21,2020-01-01,2020,1,Q1
2019-12-31,0.31260000000000004,3.45,2019-10-01,2019,10,Q4
2019-09-30,0.38880000000000003,2.64,2019-07-01,2019,7,Q3
2019-06-30,0.2708,1.55,2019-04-01,2019,4,Q2
2019-03-31,0.3428,3.29,2019-01-01,2019,1,Q1
2018-12-31,0.39640000000000003,1.96,2018-10-01,2018,10,Q4
2018-09-30,0.3848,2.14,2018-07-01,2018,7,Q3
