quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.0677,1.45,2021-01-01,2021,1,Q1
2020-12-31,0.0717,1.56,2020-10-01,2020,10,Q4
2020-09-30,0.09480000000000001,2.02,2020-07-01,2020,7,Q3
2020-06-30,0.0857,1.74,2020-04-01,2020,4,Q2
2020-03-31,0.0447,0.87,2020-01-01,2020,1,Q1
2019-12-31,0.0936,1.95,2019-10-01,2019,10,Q4
2019-09-30,0.0571,1.15,2019-07-01,2019,7,Q3
2019-06-30,0.0757,1.46,2019-04-01,2019,4,Q2
2019-03-31,0.0481,0.9,2019-01-01,2019,1,Q1
2018-12-31,0.06269999999999999,1.18,2018-10-01,2018,10,Q4
