quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.22280000000000003,0.41,2021-01-01,2021,1,Q1
2020-12-31,0.1838,0.3,2020-10-01,2020,10,Q4
2020-09-30,0.462,0.7,2020-07-01,2020,7,Q3
2020-06-30,0.3168,0.54,2020-04-01,2020,4,Q2
2020-03-31,0.0489,0.11,2020-01-01,2020,1,Q1
2019-12-31,0.12990000000000002,0.26,2019-10-01,2019,10,Q4
2019-09-30,0.3586,0.68,2019-07-01,2019,7,Q3
2019-06-30,0.1862,0.41,2019-04-01,2019,4,Q2
2019-03-31,0.1401,0.33,2019-01-01,2019,1,Q1
2018-12-31,0.07150000000000001,0.15,2018-10-01,2018,10,Q4
