,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1997-06-01,0.971,actual,2.0,1997,29.9,0.0,0.0
1,1997-07-01,1.49,actual,3.0,1997,29.9,0.0,0.0
2,1997-08-01,2.36,actual,3.0,1997,29.9,0.0,0.0
3,1997-09-01,2.5,actual,3.0,1997,29.9,0.0,0.0
4,1997-10-01,2.91,actual,4.0,1997,29.9,0.0,0.0
5,1997-11-01,3.06,actual,4.0,1997,29.9,0.0,0.0
6,1997-12-01,4.1,actual,4.0,1997,29.9,0.0,0.0
7,1998-01-01,2.9,actual,1.0,1998,29.9,0.0,0.0
8,1998-02-01,3.39,actual,1.0,1998,29.9,0.0,0.0
9,1998-03-01,3.61,actual,1.0,1998,29.9,0.0,0.0
10,1998-04-01,3.76,actual,2.0,1998,29.9,0.0,0.0
11,1998-05-01,2.44,actual,2.0,1998,29.9,0.0,0.0
12,1998-06-01,1.78,actual,2.0,1998,29.9,0.0,0.0
13,1998-07-01,2.94,actual,3.0,1998,29.9,0.0,0.0
14,1998-08-01,3.81,actual,3.0,1998,29.9,0.0,0.0
15,1998-09-01,3.04,actual,3.0,1998,29.9,0.0,0.0
16,1998-10-01,3.09,actual,4.0,1998,29.9,0.0,0.0
17,1998-11-01,3.41,actual,4.0,1998,29.9,0.0,0.0
18,1998-12-01,4.34,actual,4.0,1998,29.9,0.0,0.0
19,1999-01-01,3.1,actual,1.0,1999,29.9,0.039900000000000005,0.04136789297658864
20,1999-02-01,2.9,actual,1.0,1999,29.9,0.039900000000000005,0.038698996655518396
21,1999-03-01,3.48,actual,1.0,1999,29.9,0.039900000000000005,0.046438795986622074
22,1999-04-01,3.19,actual,2.0,1999,29.9,0.039900000000000005,0.042568896321070235
23,1999-05-01,1.25,actual,2.0,1999,29.9,0.039900000000000005,0.016680602006688965
24,1999-06-01,0.537,actual,2.0,1999,29.9,0.039900000000000005,0.00716598662207358
25,1999-07-01,0.841,actual,3.0,1999,29.9,0.039900000000000005,0.011222709030100336
26,1999-08-01,1.99,actual,3.0,1999,29.9,0.039900000000000005,0.026555518394648835
27,1999-09-01,2.14,actual,3.0,1999,29.9,0.039900000000000005,0.028557190635451514
28,1999-10-01,4.0,actual,4.0,1999,29.9,0.039900000000000005,0.053377926421404695
29,1999-11-01,3.87,actual,4.0,1999,29.9,0.039900000000000005,0.05164314381270904
30,1999-12-01,5.44,actual,4.0,1999,29.9,0.039900000000000005,0.0725939799331104
