quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2020-12-31,0.39490000000000003,5.51,2020-10-01,2020,10,Q4
2020-09-30,0.38520000000000004,5.3,2020-07-01,2020,7,Q3
2020-06-30,0.3889,4.66,2020-04-01,2020,4,Q2
2020-03-31,0.37670000000000003,4.51,2020-01-01,2020,1,Q1
2019-12-31,0.3658,4.48,2019-10-01,2019,10,Q4
2019-09-30,0.34490000000000004,3.9,2019-07-01,2019,7,Q3
2019-06-30,0.277,2.57,2019-04-01,2019,4,Q2
2019-03-31,0.2807,2.37,2019-01-01,2019,1,Q1
2018-12-31,0.34500000000000003,3.86,2018-10-01,2018,10,Q4
2018-09-30,0.3421,3.44,2018-07-01,2018,7,Q3
