quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.0122,1.62,2021-01-01,2021,1,Q1
2020-12-31,0.0129,1.37,2020-10-01,2020,10,Q4
2020-09-30,0.0129,1.21,2020-07-01,2020,7,Q3
2020-06-30,0.011200000000000002,0.88,2020-04-01,2020,4,Q2
2020-03-31,0.009000000000000001,0.77,2020-01-01,2020,1,Q1
2019-12-31,0.0105,0.9,2019-10-01,2019,10,Q4
2019-09-30,0.012,1.1,2019-07-01,2019,7,Q3
2019-06-30,0.0118,0.78,2019-04-01,2019,4,Q2
2019-03-31,0.011200000000000002,0.62,2019-01-01,2019,1,Q1
2018-12-31,0.0089,0.8,2018-10-01,2018,10,Q4
