quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.09730000000000001,1.39,2021-01-01,2021,1,Q1
2020-12-31,0.0444,0.58,2020-10-01,2020,10,Q4
2020-09-30,0.1979,2.55,2020-07-01,2020,7,Q3
2020-06-30,0.09550000000000002,1.14,2020-04-01,2020,4,Q2
2020-03-31,0.11699999999999999,1.24,2020-01-01,2020,1,Q1
2019-12-31,0.07150000000000001,0.75,2019-10-01,2019,10,Q4
2019-09-30,0.0873,1.03,2019-07-01,2019,7,Q3
2019-06-30,0.1038,1.59,2019-04-01,2019,4,Q2
2019-03-31,0.1253,1.99,2019-01-01,2019,1,Q1
2018-12-31,0.09730000000000001,1.68,2018-10-01,2018,10,Q4
