quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.1009,3.05,2021-01-01,2021,1,Q1
2020-12-31,0.086,2.67,2020-10-01,2020,10,Q4
2020-09-30,0.07769999999999999,2.17,2020-07-01,2020,7,Q3
2020-06-30,0.0639,1.58,2020-04-01,2020,4,Q2
2020-03-31,0.0653,1.66,2020-01-01,2020,1,Q1
2019-12-31,0.0514,1.46,2019-10-01,2019,10,Q4
2019-09-30,0.053,1.45,2019-07-01,2019,7,Q3
2019-06-30,0.052000000000000005,1.32,2019-04-01,2019,4,Q2
2019-03-31,0.0714,1.86,2019-01-01,2019,1,Q1
2018-12-31,0.0644,1.77,2018-10-01,2018,10,Q4
