quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.14150000000000001,3.1,2021-01-01,2021,1,Q1
2020-12-31,0.10710000000000001,2.25,2020-10-01,2020,10,Q4
2020-09-30,0.10779999999999999,2.26,2020-07-01,2020,7,Q3
2020-06-30,0.1124,2.56,2020-04-01,2020,4,Q2
2020-03-31,0.09640000000000001,2.2,2020-01-01,2020,1,Q1
2019-12-31,0.0942,2.2,2019-10-01,2019,10,Q4
2019-09-30,0.1012,2.31,2019-07-01,2019,7,Q3
2019-06-30,0.1,2.26,2019-04-01,2019,4,Q2
2019-03-31,0.1121,2.36,2019-01-01,2019,1,Q1
2018-12-31,0.1126,2.65,2018-10-01,2018,10,Q4
