quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.166,1.33,2021-01-01,2021,1,Q1
2020-12-31,0.20510000000000003,1.65,2020-10-01,2020,10,Q4
2020-09-30,0.1739,1.36,2020-07-01,2020,7,Q3
2020-06-30,0.155,1.21,2020-04-01,2020,4,Q2
2020-03-31,0.1617,1.21,2020-01-01,2020,1,Q1
2019-12-31,0.15630000000000002,1.21,2019-10-01,2019,10,Q4
2019-09-30,0.1611,1.23,2019-07-01,2019,7,Q3
2019-06-30,0.1607,1.21,2019-04-01,2019,4,Q2
2019-03-31,0.1592,1.2,2019-01-01,2019,1,Q1
2018-12-31,0.1531,1.22,2018-10-01,2018,10,Q4
