,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1997-06-01,2.73,actual,2.0,1997,45.12,0.22399999999999998,0.13553191489361702
1,1997-07-01,2.75,actual,3.0,1997,45.12,0.22399999999999998,0.13652482269503546
2,1997-08-01,2.75,actual,3.0,1997,45.12,0.22399999999999998,0.13652482269503546
3,1997-09-01,2.87,actual,3.0,1997,45.12,0.22399999999999998,0.1424822695035461
4,1997-10-01,2.88,actual,4.0,1997,45.12,0.22399999999999998,0.14297872340425533
5,1997-11-01,2.96,actual,4.0,1997,45.12,0.22399999999999998,0.14695035460992908
6,1997-12-01,3.1,actual,4.0,1997,45.12,0.22399999999999998,0.15390070921985816
7,1998-01-01,2.89,actual,1.0,1998,45.12,0.16899999999999998,0.10824689716312057
8,1998-02-01,2.94,actual,1.0,1998,45.12,0.16899999999999998,0.11011968085106383
9,1998-03-01,2.98,actual,1.0,1998,45.12,0.16899999999999998,0.11161790780141843
10,1998-04-01,2.98,actual,2.0,1998,45.12,0.16899999999999998,0.11161790780141843
11,1998-05-01,2.97,actual,2.0,1998,45.12,0.16899999999999998,0.11124335106382979
12,1998-06-01,3.11,actual,2.0,1998,45.12,0.16899999999999998,0.1164871453900709
13,1998-07-01,3.06,actual,3.0,1998,45.12,0.16899999999999998,0.11461436170212766
14,1998-08-01,3.06,actual,3.0,1998,45.12,0.16899999999999998,0.11461436170212766
15,1998-09-01,3.17,actual,3.0,1998,45.12,0.16899999999999998,0.11873448581560282
16,1998-10-01,3.18,actual,4.0,1998,45.12,0.16899999999999998,0.11910904255319149
17,1998-11-01,3.18,actual,4.0,1998,45.12,0.16899999999999998,0.11910904255319149
18,1998-12-01,3.35,actual,4.0,1998,45.12,0.16899999999999998,0.12547650709219857
19,1999-01-01,3.26,actual,1.0,1999,45.12,0.218,0.15750886524822694
20,1999-02-01,3.14,actual,1.0,1999,45.12,0.218,0.15171099290780143
21,1999-03-01,3.22,actual,1.0,1999,45.12,0.218,0.15557624113475177
22,1999-04-01,3.23,actual,2.0,1999,45.12,0.218,0.15605939716312056
23,1999-05-01,3.25,actual,2.0,1999,45.12,0.218,0.15702570921985817
24,1999-06-01,3.26,actual,2.0,1999,45.12,0.218,0.15750886524822694
25,1999-07-01,3.32,actual,3.0,1999,45.12,0.218,0.16040780141843972
26,1999-08-01,3.34,actual,3.0,1999,45.12,0.218,0.1613741134751773
27,1999-09-01,3.28,actual,3.0,1999,45.12,0.218,0.15847517730496452
28,1999-10-01,3.36,actual,4.0,1999,45.12,0.218,0.1623404255319149
29,1999-11-01,3.39,actual,4.0,1999,45.12,0.218,0.1637898936170213
30,1999-12-01,3.46,actual,4.0,1999,45.12,0.218,0.16717198581560286
31,2000-01-01,3.41,actual,1.0,2000,45.12,0.159,0.12016622340425534
32,2000-02-01,3.37,actual,1.0,2000,45.12,0.159,0.11875664893617023
33,2000-03-01,3.33,actual,1.0,2000,45.12,0.159,0.11734707446808511
34,2000-04-01,3.44,actual,2.0,2000,45.12,0.159,0.12122340425531916
35,2000-05-01,3.49,actual,2.0,2000,45.12,0.159,0.12298537234042554
36,2000-06-01,3.45,actual,2.0,2000,45.12,0.159,0.12157579787234044
37,2000-07-01,3.5,actual,3.0,2000,45.12,0.159,0.12333776595744682
38,2000-08-01,3.5,actual,3.0,2000,45.12,0.159,0.12333776595744682
39,2000-09-01,3.54,actual,3.0,2000,45.12,0.159,0.12474734042553193
40,2000-10-01,3.64,actual,4.0,2000,45.12,0.159,0.1282712765957447
41,2000-11-01,3.51,actual,4.0,2000,45.12,0.159,0.12369015957446808
42,2000-12-01,3.68,actual,4.0,2000,45.12,0.159,0.12968085106382982
43,2001-01-01,3.47,actual,1.0,2001,45.12,0.23800000000000002,0.1830363475177305
44,2001-02-01,3.39,actual,1.0,2001,45.12,0.23800000000000002,0.17881648936170214
45,2001-03-01,3.47,actual,1.0,2001,45.12,0.23800000000000002,0.1830363475177305
46,2001-04-01,3.49,actual,2.0,2001,45.12,0.23800000000000002,0.18409131205673762
47,2001-05-01,3.55,actual,2.0,2001,45.12,0.23800000000000002,0.1872562056737589
48,2001-06-01,3.5,actual,2.0,2001,45.12,0.23800000000000002,0.18461879432624118
49,2001-07-01,3.5,actual,3.0,2001,45.12,0.23800000000000002,0.18461879432624118
50,2001-08-01,3.48,actual,3.0,2001,45.12,0.23800000000000002,0.1835638297872341
51,2001-09-01,3.45,actual,3.0,2001,45.12,0.23800000000000002,0.18198138297872343
52,2001-10-01,3.54,actual,4.0,2001,45.12,0.23800000000000002,0.18672872340425534
53,2001-11-01,3.57,actual,4.0,2001,45.12,0.23800000000000002,0.18831117021276597
54,2001-12-01,3.49,actual,4.0,2001,45.12,0.23800000000000002,0.18409131205673762
55,2002-01-01,3.47,actual,1.0,2002,45.12,0.154,0.11843528368794329
56,2002-02-01,3.35,actual,1.0,2002,45.12,0.154,0.1143395390070922
57,2002-03-01,3.39,actual,1.0,2002,45.12,0.154,0.11570478723404255
58,2002-04-01,3.49,actual,2.0,2002,45.12,0.154,0.11911790780141845
59,2002-05-01,3.72,actual,2.0,2002,45.12,0.154,0.126968085106383
60,2002-06-01,3.57,actual,2.0,2002,45.12,0.154,0.12184840425531915
61,2002-07-01,3.64,actual,3.0,2002,45.12,0.154,0.12423758865248229
62,2002-08-01,3.57,actual,3.0,2002,45.12,0.154,0.12184840425531915
63,2002-09-01,3.55,actual,3.0,2002,45.12,0.154,0.12116578014184398
64,2002-10-01,3.58,actual,4.0,2002,45.12,0.154,0.12218971631205675
65,2002-11-01,3.73,actual,4.0,2002,45.12,0.154,0.1273093971631206
66,2002-12-01,3.75,actual,4.0,2002,45.12,0.154,0.12799202127659576
67,2003-01-01,3.58,actual,1.0,2003,45.12,0.179,0.14202570921985816
68,2003-02-01,3.52,actual,1.0,2003,45.12,0.179,0.13964539007092197
69,2003-03-01,3.67,actual,1.0,2003,45.12,0.179,0.14559618794326243
70,2003-04-01,3.68,actual,2.0,2003,45.12,0.179,0.14599290780141844
71,2003-05-01,3.7,actual,2.0,2003,45.12,0.179,0.1467863475177305
72,2003-06-01,3.77,actual,2.0,2003,45.12,0.179,0.1495633865248227
73,2003-07-01,3.8,actual,3.0,2003,45.12,0.179,0.15075354609929076
74,2003-08-01,3.79,actual,3.0,2003,45.12,0.179,0.15035682624113475
75,2003-09-01,3.84,actual,3.0,2003,45.12,0.179,0.1523404255319149
76,2003-10-01,3.9,actual,4.0,2003,45.12,0.179,0.15472074468085106
77,2003-11-01,3.85,actual,4.0,2003,45.12,0.179,0.15273714539007094
78,2003-12-01,4.13,actual,4.0,2003,45.12,0.179,0.16384530141843973
79,2004-01-01,3.78,actual,1.0,2004,45.12,0.182,0.15247340425531913
80,2004-02-01,3.82,actual,1.0,2004,45.12,0.182,0.1540868794326241
81,2004-03-01,3.99,actual,1.0,2004,45.12,0.182,0.1609441489361702
82,2004-04-01,4.0,actual,2.0,2004,45.12,0.182,0.16134751773049644
83,2004-05-01,4.02,actual,2.0,2004,45.12,0.182,0.16215425531914893
84,2004-06-01,4.07,actual,2.0,2004,45.12,0.182,0.16417109929078016
85,2004-07-01,4.09,actual,3.0,2004,45.12,0.182,0.16497783687943263
86,2004-08-01,4.08,actual,3.0,2004,45.12,0.182,0.16457446808510637
87,2004-09-01,4.1,actual,3.0,2004,45.12,0.182,0.16538120567375886
88,2004-10-01,4.16,actual,4.0,2004,45.12,0.182,0.16780141843971635
89,2004-11-01,4.47,actual,4.0,2004,45.12,0.182,0.18030585106382976
90,2004-12-01,4.69,actual,4.0,2004,45.12,0.182,0.18917996453900712
91,2005-01-01,4.27,actual,1.0,2005,45.12,0.17300000000000001,0.1637211879432624
92,2005-02-01,4.11,actual,1.0,2005,45.12,0.17300000000000001,0.1575864361702128
93,2005-03-01,4.29,actual,1.0,2005,45.12,0.17300000000000001,0.16448803191489364
94,2005-04-01,4.27,actual,2.0,2005,45.12,0.17300000000000001,0.1637211879432624
95,2005-05-01,4.34,actual,2.0,2005,45.12,0.17300000000000001,0.16640514184397165
96,2005-06-01,4.4,actual,2.0,2005,45.12,0.17300000000000001,0.16870567375886525
97,2005-07-01,4.32,actual,3.0,2005,45.12,0.17300000000000001,0.16563829787234047
98,2005-08-01,4.52,actual,3.0,2005,45.12,0.17300000000000001,0.1733067375886525
99,2005-09-01,4.36,actual,3.0,2005,45.12,0.17300000000000001,0.16717198581560289
100,2005-10-01,4.49,actual,4.0,2005,45.12,0.17300000000000001,0.1721564716312057
101,2005-11-01,4.59,actual,4.0,2005,45.12,0.17300000000000001,0.1759906914893617
102,2005-12-01,4.85,actual,4.0,2005,45.12,0.17300000000000001,0.18595966312056736
103,2006-01-01,4.63,actual,1.0,2006,45.12,0.192,0.19702127659574467
104,2006-02-01,4.75,actual,1.0,2006,45.12,0.192,0.2021276595744681
105,2006-03-01,4.54,actual,1.0,2006,45.12,0.192,0.19319148936170216
106,2006-04-01,4.46,actual,2.0,2006,45.12,0.192,0.1897872340425532
107,2006-05-01,4.71,actual,2.0,2006,45.12,0.192,0.20042553191489365
108,2006-06-01,4.58,actual,2.0,2006,45.12,0.192,0.1948936170212766
109,2006-07-01,4.56,actual,3.0,2006,45.12,0.192,0.19404255319148936
110,2006-08-01,4.57,actual,3.0,2006,45.12,0.192,0.19446808510638303
111,2006-09-01,4.58,actual,3.0,2006,45.12,0.192,0.1948936170212766
112,2006-10-01,4.59,actual,4.0,2006,45.12,0.192,0.19531914893617022
113,2006-11-01,4.68,actual,4.0,2006,45.12,0.192,0.1991489361702128
114,2006-12-01,4.95,actual,4.0,2006,45.12,0.192,0.21063829787234045
115,2007-01-01,4.67,actual,1.0,2007,45.12,0.18600000000000003,0.19251329787234045
116,2007-02-01,4.71,actual,1.0,2007,45.12,0.18600000000000003,0.19416223404255323
117,2007-03-01,4.66,actual,1.0,2007,45.12,0.18600000000000003,0.1921010638297873
118,2007-04-01,4.65,actual,2.0,2007,45.12,0.18600000000000003,0.1916888297872341
119,2007-05-01,4.69,actual,2.0,2007,45.12,0.18600000000000003,0.19333776595744687
120,2007-06-01,4.73,actual,2.0,2007,45.12,0.18600000000000003,0.19498670212765964
121,2007-07-01,4.76,actual,3.0,2007,45.12,0.18600000000000003,0.19622340425531917
122,2007-08-01,4.71,actual,3.0,2007,45.12,0.18600000000000003,0.19416223404255323
123,2007-09-01,4.79,actual,3.0,2007,45.12,0.18600000000000003,0.19746010638297878
124,2007-10-01,4.86,actual,4.0,2007,45.12,0.18600000000000003,0.20034574468085112
125,2007-11-01,4.94,actual,4.0,2007,45.12,0.18600000000000003,0.20364361702127665
126,2007-12-01,5.02,actual,4.0,2007,45.12,0.18600000000000003,0.20694148936170217
127,2008-01-01,4.94,actual,1.0,2008,45.12,0.10400000000000001,0.11386524822695039
128,2008-02-01,4.75,actual,1.0,2008,45.12,0.10400000000000001,0.1094858156028369
129,2008-03-01,4.89,actual,1.0,2008,45.12,0.10400000000000001,0.11271276595744681
130,2008-04-01,4.9,actual,2.0,2008,45.12,0.10400000000000001,0.11294326241134753
