,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-08-01,94.41323900765535,58.261636814942676,117.29613439892319,94.41323900765535,94.41323900765535,-6.084116194550778,-6.084116194550778,-6.084116194550778,-6.084116194550778,-6.084116194550778,-6.084116194550778,0.0,0.0,0.0,88.32912281310458
1,2016-09-01,95.2017798357358,70.65215585512787,134.53198140665805,95.2017798357358,95.2017798357358,5.825462439086558,5.825462439086558,5.825462439086558,5.825462439086558,5.825462439086558,5.825462439086558,0.0,0.0,0.0,101.02724227482237
2,2016-10-01,95.96488386291043,54.92659668271936,116.3792608134089,95.96488386291043,95.96488386291043,-10.480175466780212,-10.480175466780212,-10.480175466780212,-10.480175466780212,-10.480175466780212,-10.480175466780212,0.0,0.0,0.0,85.48470839613022
3,2016-11-01,96.75342469285444,67.89457790585767,128.50685058365576,96.75342469285444,96.75342469285444,1.3867988326406382,1.3867988326406382,1.3867988326406382,1.3867988326406382,1.3867988326406382,1.3867988326406382,0.0,0.0,0.0,98.14022352549507
4,2016-12-01,97.5165287218325,80.97632210522653,143.40990181377651,97.5165287218325,97.5165287218325,15.242583763537077,15.242583763537077,15.242583763537077,15.242583763537077,15.242583763537077,15.242583763537077,0.0,0.0,0.0,112.75911248536957
5,2017-01-01,98.30506953252414,50.84009142950552,112.9662496512745,98.30506953252414,98.30506953252414,-15.76752007106823,-15.76752007106823,-15.76752007106823,-15.76752007106823,-15.76752007106823,-15.76752007106823,0.0,0.0,0.0,82.53754946145591
6,2017-02-01,99.09361034321579,36.52923964359659,99.61943660819607,99.09361034321579,99.09361034321579,-30.47873405864543,-30.47873405864543,-30.47873405864543,-30.47873405864543,-30.47873405864543,-30.47873405864543,0.0,0.0,0.0,68.61487628457036
7,2017-03-01,99.80584076389752,70.00726084292285,132.02874032845074,99.80584076389752,99.80584076389752,1.279601043641038,1.279601043641038,1.279601043641038,1.279601043641038,1.279601043641038,1.279601043641038,0.0,0.0,0.0,101.08544180753856
8,2017-04-01,100.59438156678294,58.680448468045455,120.6846930592637,100.59438156678294,100.59438156678294,-12.18869800630181,-12.18869800630181,-12.18869800630181,-12.18869800630181,-12.18869800630181,-12.18869800630181,0.0,0.0,0.0,88.40568356048114
9,2017-05-01,101.35748556957529,69.35414215245585,130.1993386282359,101.35748556957529,101.35748556957529,-0.03684156075740058,-0.03684156075740058,-0.03684156075740058,-0.03684156075740058,-0.03684156075740058,-0.03684156075740058,0.0,0.0,0.0,101.3206440088179
10,2017-06-01,102.1460263750597,75.58033121899007,137.62675113431408,102.1460263750597,102.1460263750597,5.212610056666466,5.212610056666466,5.212610056666466,5.212610056666466,5.212610056666466,5.212610056666466,0.0,0.0,0.0,107.35863643172617
11,2017-07-01,102.90913038036722,77.62412226394909,136.77159217724662,102.90913038036722,102.90913038036722,5.248203936901734,5.248203936901734,5.248203936901734,5.248203936901734,5.248203936901734,5.248203936901734,0.0,0.0,0.0,108.15733431726895
12,2017-08-01,103.69767118196867,73.72960217707698,131.7576638097301,103.69767118196867,103.69767118196867,-0.9367778846562316,-0.9367778846562316,-0.9367778846562316,-0.9367778846562316,-0.9367778846562316,-0.9367778846562316,0.0,0.0,0.0,102.76089329731244
13,2017-09-01,104.48621198357016,84.44827487014197,143.5663246569602,104.48621198357016,104.48621198357016,8.86235264493908,8.86235264493908,8.86235264493908,8.86235264493908,8.86235264493908,8.86235264493908,0.0,0.0,0.0,113.34856462850924
14,2017-10-01,105.2493159815768,73.52650760596954,134.44632557876406,105.2493159815768,105.2493159815768,-0.9809783388047159,-0.9809783388047159,-0.9809783388047159,-0.9809783388047159,-0.9809783388047159,-0.9809783388047159,0.0,0.0,0.0,104.26833764277208
15,2017-11-01,106.03785677951699,72.75857808131633,135.85807800263447,106.03785677951699,106.03785677951699,-1.7471179174280436,-1.7471179174280436,-1.7471179174280436,-1.7471179174280436,-1.7471179174280436,-1.7471179174280436,0.0,0.0,0.0,104.29073886208894
16,2017-12-01,106.80096077008017,83.63934293388742,145.19884913553074,106.80096077008017,106.80096077008017,5.345026310468701,5.345026310468701,5.345026310468701,5.345026310468701,5.345026310468701,5.345026310468701,0.0,0.0,0.0,112.14598708054886
17,2018-01-01,107.5895015603288,59.583666487293634,118.98042934022757,107.5895015603288,107.5895015603288,-18.977744030366793,-18.977744030366793,-18.977744030366793,-18.977744030366793,-18.977744030366793,-18.977744030366793,0.0,0.0,0.0,88.611757529962
18,2018-02-01,108.3780423366476,51.0404714866632,115.51098223886625,108.3780423366476,108.3780423366476,-24.934427545974188,-24.934427545974188,-24.934427545974188,-24.934427545974188,-24.934427545974188,-24.934427545974188,0.0,0.0,0.0,83.44361479067341
19,2018-03-01,109.09027270225465,78.97307805162063,138.41933049901934,109.09027270225465,109.09027270225465,-0.5362176019259417,-0.5362176019259417,-0.5362176019259417,-0.5362176019259417,-0.5362176019259417,-0.5362176019259417,0.0,0.0,0.0,108.55405510032871
20,2018-04-01,109.87881346417676,77.95967062216373,137.73756818225567,109.87881346417676,109.87881346417676,-0.9538544346227884,-0.9538544346227884,-0.9538544346227884,-0.9538544346227884,-0.9538544346227884,-0.9538544346227884,0.0,0.0,0.0,108.92495902955397
21,2018-05-01,110.64191742232943,77.11337721777859,136.66865940568502,110.64191742232943,110.64191742232943,-3.3198754020461174,-3.3198754020461174,-3.3198754020461174,-3.3198754020461174,-3.3198754020461174,-3.3198754020461174,0.0,0.0,0.0,107.3220420202833
22,2018-06-01,111.43045817908721,74.97266776501786,136.76551897090857,111.43045817908721,111.43045817908721,-4.632854498477022,-4.632854498477022,-4.632854498477022,-4.632854498477022,-4.632854498477022,-4.632854498477022,0.0,0.0,0.0,106.7976036806102
23,2018-07-01,112.19356214512443,82.27834157380538,143.73676161862724,112.19356214512443,112.19356214512443,0.8457743517815984,0.8457743517815984,0.8457743517815984,0.8457743517815984,0.8457743517815984,0.8457743517815984,0.0,0.0,0.0,113.03933649690603
24,2018-08-01,112.98210291002958,87.83906459205863,150.17370206958932,112.98210291002958,112.98210291002958,4.429984419947418,4.429984419947418,4.429984419947418,4.429984419947418,4.429984419947418,4.429984419947418,0.0,0.0,0.0,117.412087329977
25,2018-09-01,113.77064368601087,95.62721619067102,157.38131364005594,113.77064368601087,113.77064368601087,11.977232210884523,11.977232210884523,11.977232210884523,11.977232210884523,11.977232210884523,11.977232210884523,0.0,0.0,0.0,125.7478758968954
26,2018-10-01,114.53374766276696,93.33995320271175,154.9206330440355,114.53374766276696,114.53374766276696,8.343209885540595,8.343209885540595,8.343209885540595,8.343209885540595,8.343209885540595,8.343209885540595,0.0,0.0,0.0,122.87695754830756
27,2018-11-01,115.32273314643673,78.21243599254656,139.5142772718885,115.32273314643673,115.32273314643673,-5.201842333981143,-5.201842333981143,-5.201842333981143,-5.201842333981143,-5.201842333981143,-5.201842333981143,0.0,0.0,0.0,110.12089081245558
28,2018-12-01,116.08626748547195,77.85992822068727,141.24708236330034,116.08626748547195,116.08626748547195,-4.565302039716121,-4.565302039716121,-4.565302039716121,-4.565302039716121,-4.565302039716121,-4.565302039716121,0.0,0.0,0.0,111.52096544575583
