,Year,EPS,max_stock_price,avg_stock_price,min_stock_price
0,2017,3.5515343511450386,89.14351221374048,71.38584045801528,55.0487824427481
1,2018,15.768,395.77680000000004,316.93680000000006,244.404
2,2019,17.31920610687023,434.71207328244276,348.1160427480916,268.4476946564886
3,2020,8.63403282442748,216.71422389312977,173.54405977099236,133.82750877862594
4,2021,12.911045962699244,324.06725366375105,259.5120238502548,200.1212124218383
5,2022,12.75678525872027,320.1953099938788,256.41138370027744,197.7301715101642
6,2023,13.578662954910488,340.82444016825326,272.9311253937008,210.46927580111256
7,2024,13.662540094652988,342.92975637579,274.61705590252507,211.76937146712132
8,2025,15.232866382464852,382.3449461998678,306.18061428754356,236.1094289282052
9,2026,16.054465232794307,402.96707734313713,322.69475117916556,248.84421110831175
10,2027,16.876342928986876,423.59620751757063,339.21449287263624,261.58331539929657
11,2028,16.960220068728802,425.70152372509295,340.90042338144895,262.8834110652964
12,2029,18.53054635653828,465.1167135491109,372.46398176641947,287.22346852634337
13,2030,19.35214520686667,485.73884469235344,388.9781186580201,299.9582507064334
14,2031,20.174022903058425,506.36797486676653,405.4978603514744,312.69735499740557
15,2032,20.257900042802806,508.47329107435047,407.18379086033644,313.9974506634435
16,2033,21.82822633061321,547.8884808983915,438.74734924532555,338.3375081245047
17,2034,22.64982518094329,568.5106120416766,455.2614861369601,351.072290304621
18,2035,23.47170287713404,589.1397422160644,471.7812278303942,363.8113945955776
19,2036,23.55558001687632,591.2450584235957,473.46715833921405,365.11149026158296
20,2037,25.125906304686215,630.660248247624,505.0307167241929,389.45154772263635
21,2038,25.947505155017573,651.2823793909412,521.5448536158533,402.1863299027724
22,2039,26.769382851208984,671.9115095653456,538.0645953093007,414.92543419373925
23,2040,26.853259990951244,674.0168257728762,539.7505258181201,416.22552985974426
24,2041,15.140208274553695,380.0192276912978,304.3181863185293,234.67322825558227
