quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.12840000000000001,6.2,2021-01-01,2021,1,Q1
2020-12-31,0.1161,5.43,2020-10-01,2020,10,Q4
2020-09-30,0.1442,7.03,2020-07-01,2020,7,Q3
2020-06-30,0.1012,4.08,2020-04-01,2020,4,Q2
2020-03-31,0.1158,5.06,2020-01-01,2020,1,Q1
2019-12-31,0.1262,5.19,2019-10-01,2019,10,Q4
2019-09-30,0.12090000000000001,5.13,2019-07-01,2019,7,Q3
2019-06-30,0.1109,4.34,2019-04-01,2019,4,Q2
2019-03-31,0.11970000000000001,4.65,2019-01-01,2019,1,Q1
2018-12-31,0.11699999999999999,4.28,2018-10-01,2018,10,Q4
