,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1998-01-01,0.589,actual,1.0,1998,8.07,0.0,0.0
1,1998-02-01,0.431,actual,1.0,1998,8.07,0.0,0.0
2,1998-03-01,0.573,actual,1.0,1998,8.07,0.0,0.0
3,1998-04-01,0.616,actual,2.0,1998,8.07,0.0,0.0
4,1998-05-01,0.688,actual,2.0,1998,8.07,0.0,0.0
5,1998-06-01,0.704,actual,2.0,1998,8.07,0.0,0.0
6,1998-07-01,0.682,actual,3.0,1998,8.07,0.0,0.0
7,1998-08-01,0.665,actual,3.0,1998,8.07,0.0,0.0
8,1998-09-01,0.727,actual,3.0,1998,8.07,0.0,0.0
9,1998-10-01,0.69,actual,4.0,1998,8.07,0.0,0.0
10,1998-11-01,0.645,actual,4.0,1998,8.07,0.0,0.0
11,1998-12-01,0.406,actual,4.0,1998,8.07,0.0,0.0
12,1999-01-01,0.6,actual,1.0,1999,8.07,0.0,0.0
13,1999-02-01,0.547,actual,1.0,1999,8.07,0.0,0.0
14,1999-03-01,0.474,actual,1.0,1999,8.07,0.0,0.0
15,1999-04-01,0.557,actual,2.0,1999,8.07,0.0,0.0
16,1999-05-01,0.589,actual,2.0,1999,8.07,0.0,0.0
17,1999-06-01,0.607,actual,2.0,1999,8.07,0.0,0.0
18,1999-07-01,0.677,actual,3.0,1999,8.07,0.0,0.0
19,1999-08-01,0.695,actual,3.0,1999,8.07,0.0,0.0
20,1999-09-01,0.6,actual,3.0,1999,8.07,0.0,0.0
21,1999-10-01,0.544,actual,4.0,1999,8.07,0.0,0.0
22,1999-11-01,0.646,actual,4.0,1999,8.07,0.0,0.0
23,1999-12-01,0.561,actual,4.0,1999,8.07,0.0,0.0
24,2000-01-01,0.629,actual,1.0,2000,8.07,0.0,0.0
25,2000-02-01,0.445,actual,1.0,2000,8.07,0.0,0.0
26,2000-03-01,0.489,actual,1.0,2000,8.07,0.0,0.0
27,2000-04-01,0.486,actual,2.0,2000,8.07,0.0,0.0
28,2000-05-01,0.604,actual,2.0,2000,8.07,0.0,0.0
29,2000-06-01,0.674,actual,2.0,2000,8.07,0.0,0.0
30,2000-07-01,0.657,actual,3.0,2000,8.07,0.0,0.0
31,2000-08-01,0.64,actual,3.0,2000,8.07,0.0,0.0
32,2000-09-01,0.557,actual,3.0,2000,8.07,0.0,0.0
33,2000-10-01,0.565,actual,4.0,2000,8.07,0.0,0.0
34,2000-11-01,0.6,actual,4.0,2000,8.07,0.0,0.0
35,2000-12-01,0.551,actual,4.0,2000,8.07,0.0,0.0
36,2001-01-01,0.645,actual,1.0,2001,8.07,0.0,0.0
37,2001-02-01,0.447,actual,1.0,2001,8.07,0.0,0.0
38,2001-03-01,0.551,actual,1.0,2001,8.07,0.0,0.0
39,2001-04-01,0.571,actual,2.0,2001,8.07,0.0,0.0
40,2001-05-01,0.631,actual,2.0,2001,8.07,0.0,0.0
41,2001-06-01,0.656,actual,2.0,2001,8.07,0.0,0.0
42,2001-07-01,0.706,actual,3.0,2001,8.07,0.0,0.0
43,2001-08-01,0.721,actual,3.0,2001,8.07,0.0,0.0
44,2001-09-01,0.642,actual,3.0,2001,8.07,0.0,0.0
45,2001-10-01,0.525,actual,4.0,2001,8.07,0.0,0.0
46,2001-11-01,0.606,actual,4.0,2001,8.07,0.0,0.0
47,2001-12-01,0.543,actual,4.0,2001,8.07,0.0,0.0
48,2002-01-01,0.604,actual,1.0,2002,8.07,0.122,0.09131102850061956
49,2002-02-01,0.628,actual,1.0,2002,8.07,0.122,0.09493928128872367
50,2002-03-01,0.542,actual,1.0,2002,8.07,0.122,0.08193804213135067
51,2002-04-01,0.561,actual,2.0,2002,8.07,0.122,0.08481040892193309
52,2002-05-01,0.682,actual,2.0,2002,8.07,0.122,0.10310285006195785
53,2002-06-01,0.636,actual,2.0,2002,8.07,0.122,0.09614869888475835
54,2002-07-01,0.746,actual,3.0,2002,8.07,0.122,0.11277819083023542
55,2002-08-01,0.725,actual,3.0,2002,8.07,0.122,0.10960346964064435
56,2002-09-01,0.623,actual,3.0,2002,8.07,0.122,0.09418339529120198
57,2002-10-01,0.674,actual,4.0,2002,8.07,0.122,0.10189343246592318
58,2002-11-01,0.647,actual,4.0,2002,8.07,0.122,0.09781164807930608
59,2002-12-01,0.629,actual,4.0,2002,8.07,0.122,0.095090458488228
60,2003-01-01,0.814,actual,1.0,2003,8.07,0.11699999999999999,0.11801486988847582
61,2003-02-01,0.411,actual,1.0,2003,8.07,0.11699999999999999,0.059587360594795524
62,2003-03-01,0.571,actual,1.0,2003,8.07,0.11699999999999999,0.08278438661710036
63,2003-04-01,0.556,actual,2.0,2003,8.07,0.11699999999999999,0.08060966542750929
64,2003-05-01,0.624,actual,2.0,2003,8.07,0.11699999999999999,0.09046840148698884
65,2003-06-01,0.676,actual,2.0,2003,8.07,0.11699999999999999,0.09800743494423791
66,2003-07-01,0.796,actual,3.0,2003,8.07,0.11699999999999999,0.11540520446096653
67,2003-08-01,0.756,actual,3.0,2003,8.07,0.11699999999999999,0.1096059479553903
68,2003-09-01,0.678,actual,3.0,2003,8.07,0.11699999999999999,0.09829739776951674
69,2003-10-01,0.683,actual,4.0,2003,8.07,0.11699999999999999,0.09902230483271374
70,2003-11-01,0.662,actual,4.0,2003,8.07,0.11699999999999999,0.09597769516728624
71,2003-12-01,0.665,actual,4.0,2003,8.07,0.11699999999999999,0.09641263940520445
72,2004-01-01,0.778,actual,1.0,2004,8.07,0.111,0.10701115241635688
73,2004-02-01,0.576,actual,1.0,2004,8.07,0.111,0.0792267657992565
74,2004-03-01,0.617,actual,1.0,2004,8.07,0.111,0.08486617100371747
75,2004-04-01,0.641,actual,2.0,2004,8.07,0.111,0.08816728624535317
76,2004-05-01,0.756,actual,2.0,2004,8.07,0.111,0.10398513011152417
77,2004-06-01,0.733,actual,2.0,2004,8.07,0.111,0.10082156133828997
78,2004-07-01,0.899,actual,3.0,2004,8.07,0.111,0.1236542750929368
79,2004-08-01,0.773,actual,3.0,2004,8.07,0.111,0.10632342007434945
80,2004-09-01,0.692,actual,3.0,2004,8.07,0.111,0.09518215613382898
81,2004-10-01,0.708,actual,4.0,2004,8.07,0.111,0.09738289962825276
82,2004-11-01,0.715,actual,4.0,2004,8.07,0.111,0.0983457249070632
83,2004-12-01,0.733,actual,4.0,2004,8.07,0.111,0.10082156133828997
84,2005-01-01,0.749,actual,1.0,2005,8.07,0.113,0.10487856257744733
85,2005-02-01,0.671,actual,1.0,2005,8.07,0.113,0.09395662949194548
86,2005-03-01,0.7,actual,1.0,2005,8.07,0.113,0.0980173482032218
87,2005-04-01,0.68,actual,2.0,2005,8.07,0.113,0.09521685254027261
88,2005-05-01,0.81,actual,2.0,2005,8.07,0.113,0.1134200743494424
89,2005-06-01,0.779,actual,2.0,2005,8.07,0.113,0.10907930607187113
