quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.1439,3.86,2021-01-01,2021,1,Q1
2020-12-31,0.1552,3.61,2020-10-01,2020,10,Q4
2020-09-30,0.18539999999999998,4.51,2020-07-01,2020,7,Q3
2020-06-30,0.1443,3.67,2020-04-01,2020,4,Q2
2020-03-31,0.0895,1.57,2020-01-01,2020,1,Q1
2019-12-31,0.0809,1.98,2019-10-01,2019,10,Q4
2019-09-30,0.11019999999999999,2.89,2019-07-01,2019,7,Q3
2019-06-30,0.0757,1.9,2019-04-01,2019,4,Q2
2019-03-31,0.0859,1.6,2019-01-01,2019,1,Q1
2018-12-31,0.08289999999999999,1.65,2018-10-01,2018,10,Q4
