,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1997-06-01,7.65,actual,2.0,1997,26.8,0.0125,0.035680970149253734
1,1997-07-01,7.93,actual,3.0,1997,26.8,0.0125,0.036986940298507465
2,1997-08-01,8.59,actual,3.0,1997,26.8,0.0125,0.04006529850746268
3,1997-09-01,8.0,actual,3.0,1997,26.8,0.0125,0.03731343283582089
4,1997-10-01,8.26,actual,4.0,1997,26.8,0.0125,0.03852611940298507
5,1997-11-01,9.17,actual,4.0,1997,26.8,0.0125,0.04277052238805971
6,1997-12-01,10.47,actual,4.0,1997,26.8,0.0125,0.04883395522388061
7,1998-01-01,7.69,actual,1.0,1998,26.8,0.0,0.0
8,1998-02-01,8.41,actual,1.0,1998,26.8,0.0,0.0
9,1998-03-01,8.88,actual,1.0,1998,26.8,0.0,0.0
10,1998-04-01,7.79,actual,2.0,1998,26.8,0.0,0.0
11,1998-05-01,7.88,actual,2.0,1998,26.8,0.0,0.0
12,1998-06-01,8.42,actual,2.0,1998,26.8,0.0,0.0
13,1998-07-01,8.08,actual,3.0,1998,26.8,0.0,0.0
14,1998-08-01,9.06,actual,3.0,1998,26.8,0.0,0.0
15,1998-09-01,8.79,actual,3.0,1998,26.8,0.0,0.0
16,1998-10-01,9.02,actual,4.0,1998,26.8,0.0,0.0
17,1998-11-01,9.46,actual,4.0,1998,26.8,0.0,0.0
18,1998-12-01,10.2,actual,4.0,1998,26.8,0.0,0.0
19,1999-01-01,10.03,actual,1.0,1999,26.8,0.0,0.0
20,1999-02-01,8.16,actual,1.0,1999,26.8,0.0,0.0
21,1999-03-01,9.53,actual,1.0,1999,26.8,0.0,0.0
22,1999-04-01,10.12,actual,2.0,1999,26.8,0.0,0.0
23,1999-05-01,9.7,actual,2.0,1999,26.8,0.0,0.0
24,1999-06-01,9.4,actual,2.0,1999,26.8,0.0,0.0
25,1999-07-01,9.35,actual,3.0,1999,26.8,0.0,0.0
26,1999-08-01,9.1,actual,3.0,1999,26.8,0.0,0.0
27,1999-09-01,9.3,actual,3.0,1999,26.8,0.0,0.0
28,1999-10-01,10.35,actual,4.0,1999,26.8,0.0,0.0
29,1999-11-01,9.67,actual,4.0,1999,26.8,0.0,0.0
30,1999-12-01,10.83,actual,4.0,1999,26.8,0.0,0.0
31,2000-01-01,10.46,actual,1.0,2000,26.8,0.0077,0.030052985074626865
32,2000-02-01,8.4,actual,1.0,2000,26.8,0.0077,0.024134328358208956
33,2000-03-01,10.91,actual,1.0,2000,26.8,0.0077,0.03134589552238806
34,2000-04-01,9.23,actual,2.0,2000,26.8,0.0077,0.02651902985074627
35,2000-05-01,10.0,actual,2.0,2000,26.8,0.0077,0.028731343283582088
36,2000-06-01,9.68,actual,2.0,2000,26.8,0.0077,0.027811940298507462
37,2000-07-01,9.32,actual,3.0,2000,26.8,0.0077,0.026777611940298512
38,2000-08-01,10.08,actual,3.0,2000,26.8,0.0077,0.028961194029850746
39,2000-09-01,10.08,actual,3.0,2000,26.8,0.0077,0.028961194029850746
40,2000-10-01,11.07,actual,4.0,2000,26.8,0.0077,0.03180559701492538
41,2000-11-01,10.78,actual,4.0,2000,26.8,0.0077,0.03097238805970149
42,2000-12-01,10.56,actual,4.0,2000,26.8,0.0077,0.030340298507462688
43,2001-01-01,9.79,actual,1.0,2001,26.8,0.0096,0.0350686567164179
44,2001-02-01,9.79,actual,1.0,2001,26.8,0.0096,0.0350686567164179
45,2001-03-01,11.13,actual,1.0,2001,26.8,0.0096,0.039868656716417906
46,2001-04-01,9.42,actual,2.0,2001,26.8,0.0096,0.03374328358208954
47,2001-05-01,9.02,actual,2.0,2001,26.8,0.0096,0.032310447761194024
48,2001-06-01,10.02,actual,2.0,2001,26.8,0.0096,0.03589253731343283
49,2001-07-01,8.85,actual,3.0,2001,26.8,0.0096,0.03170149253731343
50,2001-08-01,9.54,actual,3.0,2001,26.8,0.0096,0.0341731343283582
51,2001-09-01,9.4,actual,3.0,2001,26.8,0.0096,0.033671641791044774
52,2001-10-01,9.59,actual,4.0,2001,26.8,0.0096,0.034352238805970145
53,2001-11-01,9.52,actual,4.0,2001,26.8,0.0096,0.03410149253731343
54,2001-12-01,9.17,actual,4.0,2001,26.8,0.0096,0.032847761194029844
55,2002-01-01,10.13,actual,1.0,2002,26.8,-0.0105,-0.039688432835820894
56,2002-02-01,8.16,actual,1.0,2002,26.8,-0.0105,-0.031970149253731345
57,2002-03-01,9.56,actual,1.0,2002,26.8,-0.0105,-0.03745522388059702
58,2002-04-01,8.97,actual,2.0,2002,26.8,-0.0105,-0.03514365671641792
59,2002-05-01,9.33,actual,2.0,2002,26.8,-0.0105,-0.03655410447761195
60,2002-06-01,8.24,actual,2.0,2002,26.8,-0.0105,-0.032283582089552246
61,2002-07-01,9.03,actual,3.0,2002,26.8,-0.0105,-0.03537873134328358
62,2002-08-01,9.7,actual,3.0,2002,26.8,-0.0105,-0.03800373134328358
63,2002-09-01,8.96,actual,3.0,2002,26.8,-0.0105,-0.0351044776119403
64,2002-10-01,9.44,actual,4.0,2002,26.8,-0.0105,-0.03698507462686567
65,2002-11-01,9.59,actual,4.0,2002,26.8,-0.0105,-0.03757276119402985
66,2002-12-01,10.37,actual,4.0,2002,26.8,-0.0105,-0.04062873134328358
67,2003-01-01,10.29,actual,1.0,2003,26.8,0.0001,0.00038395522388059696
68,2003-02-01,7.79,actual,1.0,2003,26.8,0.0001,0.0002906716417910448
69,2003-03-01,9.34,actual,1.0,2003,26.8,0.0001,0.0003485074626865672
70,2003-04-01,9.36,actual,2.0,2003,26.8,0.0001,0.00034925373134328357
71,2003-05-01,8.54,actual,2.0,2003,26.8,0.0001,0.0003186567164179104
72,2003-06-01,8.97,actual,2.0,2003,26.8,0.0001,0.00033470149253731347
73,2003-07-01,9.6,actual,3.0,2003,26.8,0.0001,0.0003582089552238806
74,2003-08-01,9.05,actual,3.0,2003,26.8,0.0001,0.00033768656716417914
75,2003-09-01,10.52,actual,3.0,2003,26.8,0.0001,0.00039253731343283577
76,2003-10-01,11.67,actual,4.0,2003,26.8,0.0001,0.00043544776119402984
77,2003-11-01,8.9,actual,4.0,2003,26.8,0.0001,0.00033208955223880594
78,2003-12-01,11.4,actual,4.0,2003,26.8,0.0001,0.00042537313432835827
79,2004-01-01,10.54,actual,1.0,2004,26.8,-0.0059,-0.023203731343283577
80,2004-02-01,10.32,actual,1.0,2004,26.8,-0.0059,-0.022719402985074626
81,2004-03-01,10.12,actual,1.0,2004,26.8,-0.0059,-0.02227910447761194
82,2004-04-01,9.88,actual,2.0,2004,26.8,-0.0059,-0.021750746268656716
83,2004-05-01,9.24,actual,2.0,2004,26.8,-0.0059,-0.02034179104477612
84,2004-06-01,10.81,actual,2.0,2004,26.8,-0.0059,-0.023798134328358207
