,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-01,0.3469083240409383,-5.691540781876826,12.206179377694886,0.3469083240409383,0.3469083240409383,2.9138513473298535,2.9138513473298535,2.9138513473298535,2.9138513473298535,2.9138513473298535,2.9138513473298535,0.0,0.0,0.0,3.260759671370792
1,2000-02-01,0.3778938839909826,-10.473960270946295,7.137094877135853,0.3778938839909826,0.3778938839909826,-1.9780904514511222,-1.9780904514511222,-1.9780904514511222,-1.9780904514511222,-1.9780904514511222,-1.9780904514511222,0.0,0.0,0.0,-1.6001965674601395
2,2000-03-01,0.4068803755571532,-7.079567310069063,10.661376700701242,0.4068803755571532,0.4068803755571532,1.5876109380422354,1.5876109380422354,1.5876109380422354,1.5876109380422354,1.5876109380422354,1.5876109380422354,0.0,0.0,0.0,1.9944913135993887
3,2000-04-01,0.4378659355071975,-9.300225072540707,8.44408473570784,0.4378659355071975,0.4378659355071975,-0.4711459121979813,-0.4711459121979813,-0.4711459121979813,-0.4711459121979813,-0.4711459121979813,-0.4711459121979813,0.0,0.0,0.0,-0.03327997669078381
4,2000-05-01,0.46785196126530487,-9.30438796838057,7.887914467488856,0.46785196126530487,0.46785196126530487,-1.3260876623990994,-1.3260876623990994,-1.3260876623990994,-1.3260876623990994,-1.3260876623990994,-1.3260876623990994,0.0,0.0,0.0,-0.8582357011337944
5,2000-06-01,0.4988375212153492,-9.955006883666492,8.165536474542412,0.4988375212153492,0.4988375212153492,-1.5029491081793884,-1.5029491081793884,-1.5029491081793884,-1.5029491081793884,-1.5029491081793884,-1.5029491081793884,0.0,0.0,0.0,-1.0041115869640391
6,2000-07-01,0.5288235469734566,-8.228597909136715,9.246979420830284,0.5288235469734566,0.5288235469734566,0.5264214963832615,0.5264214963832615,0.5264214963832615,0.5264214963832615,0.5264214963832615,0.5264214963832615,0.0,0.0,0.0,1.055245043356718
7,2000-08-01,0.5598091069235009,-9.654760842337357,8.099912562079755,0.5598091069235009,0.5598091069235009,-1.2808936063424097,-1.2808936063424097,-1.2808936063424097,-1.2808936063424097,-1.2808936063424097,-1.2808936063424097,0.0,0.0,0.0,-0.7210844994189087
8,2000-09-01,0.5907946668735453,-8.899556140688848,8.204973949592612,0.5907946668735453,0.5907946668735453,-1.1768444311545512,-1.1768444311545512,-1.1768444311545512,-1.1768444311545512,-1.1768444311545512,-1.1768444311545512,0.0,0.0,0.0,-0.5860497642810059
9,2000-10-01,0.6207806948618638,-7.853378544358388,9.511817898291032,0.6207806948618638,0.6207806948618638,0.08090243672703391,0.08090243672703391,0.08090243672703391,0.08090243672703391,0.08090243672703391,0.08090243672703391,0.0,0.0,0.0,0.7016831315888977
10,2000-11-01,0.6517662571164596,-7.8860082240186,9.098051933836103,0.6517662571164596,0.6517662571164596,-0.5619342694323285,-0.5619342694323285,-0.5619342694323285,-0.5619342694323285,-0.5619342694323285,-0.5619342694323285,0.0,0.0,0.0,0.08983198768413114
11,2000-12-01,0.6817522851047781,-4.764437294324177,12.532505830484531,0.6817522851047781,0.6817522851047781,2.9219403927250265,2.9219403927250265,2.9219403927250265,2.9219403927250265,2.9219403927250265,2.9219403927250265,0.0,0.0,0.0,3.6036926778298044
12,2001-01-01,0.7127378473593741,-4.436309780333975,13.344825172863475,0.7127378473593741,0.7127378473593741,3.463223336996086,3.463223336996086,3.463223336996086,3.463223336996086,3.463223336996086,3.463223336996086,0.0,0.0,0.0,4.17596118435546
13,2001-02-01,0.7437234096139699,-10.560205479734938,7.394307858487761,0.7437234096139699,0.7437234096139699,-1.9999373340609603,-1.9999373340609603,-1.9999373340609603,-1.9999373340609603,-1.9999373340609603,-1.9999373340609603,0.0,0.0,0.0,-1.2562139244469903
14,2001-03-01,0.7717103690697339,-6.275086351149564,11.570450208071515,0.7717103690697339,0.7717103690697339,1.7526695997998352,1.7526695997998352,1.7526695997998352,1.7526695997998352,1.7526695997998352,1.7526695997998352,0.0,0.0,0.0,2.524379968869569
15,2001-04-01,0.8026959313243296,-8.676645972411242,8.55585777354388,0.8026959313243296,0.8026959313243296,-0.4848058873048696,-0.4848058873048696,-0.4848058873048696,-0.4848058873048696,-0.4848058873048696,-0.4848058873048696,0.0,0.0,0.0,0.31789004401945997
16,2001-05-01,0.8326819593126481,-10.055886485529445,8.559365786426591,0.8326819593126481,0.8326819593126481,-1.334649830729505,-1.334649830729505,-1.334649830729505,-1.334649830729505,-1.334649830729505,-1.334649830729505,0.0,0.0,0.0,-0.5019678714168568
17,2001-06-01,0.8636675227228562,-9.836625140862571,8.448886887003775,0.8636675227228562,0.8636675227228562,-1.4899471071848995,-1.4899471071848995,-1.4899471071848995,-1.4899471071848995,-1.4899471071848995,-1.4899471071848995,0.0,0.0,0.0,-0.6262795844620433
18,2001-07-01,0.893653551829509,-7.6593534899170335,10.249694660087622,0.893653551829509,0.893653551829509,0.37626886588446856,0.37626886588446856,0.37626886588446856,0.37626886588446856,0.37626886588446856,0.37626886588446856,0.0,0.0,0.0,1.2699224177139776
19,2001-08-01,0.9246391152397171,-9.374621102804557,9.090261155093014,0.9246391152397171,0.9246391152397171,-1.2680515566209798,-1.2680515566209798,-1.2680515566209798,-1.2680515566209798,-1.2680515566209798,-1.2680515566209798,0.0,0.0,0.0,-0.3434124413812627
