,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-04-01,4.56212237979652,-4.366635901871895,15.752016011169626,4.56212237979652,4.56212237979652,1.3591561019468918,1.3591561019468918,1.3591561019468918,1.3591561019468918,1.3591561019468918,1.3591561019468918,0.0,0.0,0.0,5.921278481743412
1,2016-05-01,4.630985836170533,-6.294334501559425,13.524398983000411,4.630985836170533,4.630985836170533,-0.8575689695752663,-0.8575689695752663,-0.8575689695752663,-0.8575689695752663,-0.8575689695752663,-0.8575689695752663,0.0,0.0,0.0,3.7734168665952663
2,2016-06-01,4.702144741090346,-7.5839631572905075,11.909235224746164,4.702144741090346,4.702144741090346,-2.103489562867364,-2.103489562867364,-2.103489562867364,-2.103489562867364,-2.103489562867364,-2.103489562867364,0.0,0.0,0.0,2.598655178222982
3,2016-07-01,4.771008197948654,-7.652702605947337,12.687168815067903,4.771008197948654,4.771008197948654,-2.4526764864279946,-2.4526764864279946,-2.4526764864279946,-2.4526764864279946,-2.4526764864279946,-2.4526764864279946,0.0,0.0,0.0,2.3183317115206594
4,2016-08-01,4.842167103368906,-7.360263904003805,12.933929696492422,4.842167103368906,4.842167103368906,-2.088182460919642,-2.088182460919642,-2.088182460919642,-2.088182460919642,-2.088182460919642,-2.088182460919642,0.0,0.0,0.0,2.753984642449264
5,2016-09-01,4.913326009877675,-10.191319535098641,10.069845223837598,4.913326009877675,4.913326009877675,-4.536849291302051,-4.536849291302051,-4.536849291302051,-4.536849291302051,-4.536849291302051,-4.536849291302051,0.0,0.0,0.0,0.37647671857562415
6,2016-10-01,4.982189467789386,-0.005074118750540993,19.25876704514802,4.982189467789386,4.982189467789386,4.529731883777805,4.529731883777805,4.529731883777805,4.529731883777805,4.529731883777805,4.529731883777805,0.0,0.0,0.0,9.51192135156719
7,2016-11-01,5.053348372508417,-1.762627290532493,18.012997262030712,5.053348372508417,5.053348372508417,2.7010253853953103,2.7010253853953103,2.7010253853953103,2.7010253853953103,2.7010253853953103,2.7010253853953103,0.0,0.0,0.0,7.754373757903727
8,2016-12-01,5.122211828780775,-3.4181587984597104,16.307741021063872,5.122211828780775,5.122211828780775,1.4290405851851105,1.4290405851851105,1.4290405851851105,1.4290405851851105,1.4290405851851105,1.4290405851851105,0.0,0.0,0.0,6.551252413965885
9,2017-01-01,5.193370733595544,-6.0042109639389265,13.536009470000424,5.193370733595544,5.193370733595544,-1.3428626231069571,-1.3428626231069571,-1.3428626231069571,-1.3428626231069571,-1.3428626231069571,-1.3428626231069571,0.0,0.0,0.0,3.8505081104885868
10,2017-02-01,5.264529639391582,-7.151745783367791,13.921169524003872,5.264529639391582,5.264529639391582,-1.855325280546466,-1.855325280546466,-1.855325280546466,-1.855325280546466,-1.855325280546466,-1.855325280546466,0.0,0.0,0.0,3.409204358845116
11,2017-03-01,5.328802199465423,9.439929758509683,29.88247292996356,5.328802199465423,5.328802199465423,14.38533944626248,14.38533944626248,14.38533944626248,14.38533944626248,14.38533944626248,14.38533944626248,0.0,0.0,0.0,19.714141645727903
12,2017-04-01,5.39996110353607,-5.35821958781944,14.143430194452886,5.39996110353607,5.39996110353607,-0.7941760828539103,-0.7941760828539103,-0.7941760828539103,-0.7941760828539103,-0.7941760828539103,-0.7941760828539103,0.0,0.0,0.0,4.605785020682159
13,2017-05-01,5.46882455908831,-6.628660447073496,13.942567142183869,5.46882455908831,5.46882455908831,-1.6490000564926952,-1.6490000564926952,-1.6490000564926952,-1.6490000564926952,-1.6490000564926952,-1.6490000564926952,0.0,0.0,0.0,3.8198245025956146
14,2017-06-01,5.539983462392596,-6.5057766185620105,14.452065428165815,5.539983462392596,5.539983462392596,-1.9321674232589012,-1.9321674232589012,-1.9321674232589012,-1.9321674232589012,-1.9321674232589012,-1.9321674232589012,0.0,0.0,0.0,3.607816039133694
15,2017-07-01,5.608846917203195,-5.8131831515993335,13.860630870175118,5.608846917203195,5.608846917203195,-1.4440598507608335,-1.4440598507608335,-1.4440598507608335,-1.4440598507608335,-1.4440598507608335,-1.4440598507608335,0.0,0.0,0.0,4.164787066442361
16,2017-08-01,5.680005818698212,-6.675092335280596,13.229026012405285,5.680005818698212,5.680005818698212,-2.249723578422472,-2.249723578422472,-2.249723578422472,-2.249723578422472,-2.249723578422472,-2.249723578422472,0.0,0.0,0.0,3.43028224027574
