quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.0825,4.54,2021-01-01,2021,1,Q1
2020-12-31,0.075,3.5,2020-10-01,2020,10,Q4
2020-09-30,0.0762,3.95,2020-07-01,2020,7,Q3
2020-06-30,0.0772,4.06,2020-04-01,2020,4,Q2
2020-03-31,0.0472,1.68,2020-01-01,2020,1,Q1
2019-12-31,0.039900000000000005,1.68,2019-10-01,2019,10,Q4
2019-09-30,0.060300000000000006,2.73,2019-07-01,2019,7,Q3
2019-06-30,0.06480000000000001,2.77,2019-04-01,2019,4,Q2
2019-03-31,0.04650000000000001,1.82,2019-01-01,2019,1,Q1
2018-12-31,0.054400000000000004,2.15,2018-10-01,2018,10,Q4
