,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1997-07-01,32.21,actual,3.0,1997,104.0,0.0,0.0
1,1997-08-01,32.33,actual,3.0,1997,104.0,0.0,0.0
2,1997-09-01,29.97,actual,3.0,1997,104.0,0.0,0.0
3,1997-10-01,30.77,actual,4.0,1997,104.0,0.0,0.0
4,1997-11-01,28.26,actual,4.0,1997,104.0,0.0,0.0
5,1997-12-01,28.28,actual,4.0,1997,104.0,0.0,0.0
6,1998-01-01,31.37,actual,1.0,1998,104.0,0.0,0.0
7,1998-02-01,27.83,actual,1.0,1998,104.0,0.0,0.0
8,1998-03-01,30.82,actual,1.0,1998,104.0,0.0,0.0
9,1998-04-01,32.4,actual,2.0,1998,104.0,0.0,0.0
10,1998-05-01,36.13,actual,2.0,1998,104.0,0.0,0.0
11,1998-06-01,35.83,actual,2.0,1998,104.0,0.0,0.0
12,1998-07-01,40.74,actual,3.0,1998,104.0,0.0,0.0
13,1998-08-01,40.68,actual,3.0,1998,104.0,0.0,0.0
14,1998-09-01,35.72,actual,3.0,1998,104.0,0.0,0.0
15,1998-10-01,37.88,actual,4.0,1998,104.0,0.0,0.0
16,1998-11-01,34.9,actual,4.0,1998,104.0,0.0,0.0
17,1998-12-01,35.45,actual,4.0,1998,104.0,0.0,0.0
18,1999-01-01,35.45,actual,1.0,1999,104.0,0.0,0.0
19,1999-02-01,36.66,actual,1.0,1999,104.0,0.0,0.0
20,1999-03-01,37.35,actual,1.0,1999,104.0,0.0,0.0
21,1999-04-01,39.28,actual,2.0,1999,104.0,0.0,0.0
22,1999-05-01,42.54,actual,2.0,1999,104.0,0.0,0.0
23,1999-06-01,44.75,actual,2.0,1999,104.0,0.0,0.0
24,1999-07-01,46.58,actual,3.0,1999,104.0,0.0,0.0
25,1999-08-01,45.94,actual,3.0,1999,104.0,0.0,0.0
26,1999-09-01,44.3,actual,3.0,1999,104.0,0.0,0.0
27,1999-10-01,43.46,actual,4.0,1999,104.0,0.0,0.0
28,1999-11-01,40.4,actual,4.0,1999,104.0,0.0,0.0
29,1999-12-01,40.45,actual,4.0,1999,104.0,0.0,0.0
30,2000-01-01,41.85,actual,1.0,2000,104.0,0.031200000000000002,0.12555000000000002
31,2000-02-01,44.92,actual,1.0,2000,104.0,0.031200000000000002,0.13476
32,2000-03-01,43.22,actual,1.0,2000,104.0,0.031200000000000002,0.12966000000000003
33,2000-04-01,44.91,actual,2.0,2000,104.0,0.031200000000000002,0.13473000000000002
34,2000-05-01,47.57,actual,2.0,2000,104.0,0.031200000000000002,0.14271000000000003
35,2000-06-01,49.18,actual,2.0,2000,104.0,0.031200000000000002,0.14754
36,2000-07-01,53.17,actual,3.0,2000,104.0,0.031200000000000002,0.15950999999999999
37,2000-08-01,51.51,actual,3.0,2000,104.0,0.031200000000000002,0.15453
38,2000-09-01,49.44,actual,3.0,2000,104.0,0.031200000000000002,0.14832
39,2000-10-01,51.15,actual,4.0,2000,104.0,0.031200000000000002,0.15345
40,2000-11-01,46.88,actual,4.0,2000,104.0,0.031200000000000002,0.14064000000000002
41,2000-12-01,48.52,actual,4.0,2000,104.0,0.031200000000000002,0.14556000000000002
42,2001-01-01,52.45,actual,1.0,2001,104.0,0.022799999999999997,0.11498653846153846
43,2001-02-01,45.52,actual,1.0,2001,104.0,0.022799999999999997,0.09979384615384614
44,2001-03-01,50.06,actual,1.0,2001,104.0,0.022799999999999997,0.10974692307692308
45,2001-04-01,49.56,actual,2.0,2001,104.0,0.022799999999999997,0.10865076923076922
46,2001-05-01,54.03,actual,2.0,2001,104.0,0.022799999999999997,0.11845038461538461
47,2001-06-01,57.97,actual,2.0,2001,104.0,0.022799999999999997,0.12708807692307691
48,2001-07-01,60.71,actual,3.0,2001,104.0,0.022799999999999997,0.133095
49,2001-08-01,61.34,actual,3.0,2001,104.0,0.022799999999999997,0.13447615384615386
50,2001-09-01,53.11,actual,3.0,2001,104.0,0.022799999999999997,0.11643346153846154
51,2001-10-01,55.43,actual,4.0,2001,104.0,0.022799999999999997,0.12151961538461539
52,2001-11-01,50.72,actual,4.0,2001,104.0,0.022799999999999997,0.11119384615384614
53,2001-12-01,56.62,actual,4.0,2001,104.0,0.022799999999999997,0.12412846153846152
54,2002-01-01,54.41,actual,1.0,2002,104.0,0.032,0.1674153846153846
55,2002-02-01,54.79,actual,1.0,2002,104.0,0.032,0.1685846153846154
56,2002-03-01,56.64,actual,1.0,2002,104.0,0.032,0.17427692307692308
57,2002-04-01,57.95,actual,2.0,2002,104.0,0.032,0.1783076923076923
58,2002-05-01,62.05,actual,2.0,2002,104.0,0.032,0.19092307692307692
59,2002-06-01,63.59,actual,2.0,2002,104.0,0.032,0.19566153846153847
