quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.0417,2.61,2021-01-01,2021,1,Q1
2020-12-31,0.0344,2.19,2020-10-01,2020,10,Q4
2020-09-30,0.0424,2.76,2020-07-01,2020,7,Q3
2020-06-30,0.041299999999999996,2.44,2020-04-01,2020,4,Q2
2020-03-31,0.0405,2.46,2020-01-01,2020,1,Q1
2019-12-31,0.035,2.19,2019-10-01,2019,10,Q4
2019-09-30,0.04190000000000001,2.66,2019-07-01,2019,7,Q3
2019-06-30,0.0405,2.49,2019-04-01,2019,4,Q2
2019-03-31,0.047599999999999996,2.8,2019-01-01,2019,1,Q1
2018-12-31,0.0367,2.18,2018-10-01,2018,10,Q4
