quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.0757,0.58,2021-01-01,2021,1,Q1
2020-12-31,0.0576,0.49,2020-10-01,2020,10,Q4
2020-09-30,0.06849999999999999,0.48,2020-07-01,2020,7,Q3
2020-06-30,0.0844,0.47,2020-04-01,2020,4,Q2
2020-03-31,0.0816,0.43,2020-01-01,2020,1,Q1
2019-12-31,-0.027200000000000002,-0.19,2019-10-01,2019,10,Q4
2019-09-30,-0.1024,-0.63,2019-07-01,2019,7,Q3
2019-06-30,0.019,0.16,2019-04-01,2019,4,Q2
2019-03-31,0.1283,0.77,2019-01-01,2019,1,Q1
2018-12-31,0.0291,0.23,2018-10-01,2018,10,Q4
