quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.08750000000000001,0.55,2021-01-01,2021,1,Q1
2020-12-31,0.0501,0.32,2020-10-01,2020,10,Q4
2020-09-30,0.0864,0.56,2020-07-01,2020,7,Q3
2020-06-30,0.0725,0.44,2020-04-01,2020,4,Q2
2020-03-31,0.0745,0.5,2020-01-01,2020,1,Q1
2019-12-31,0.0681,0.46,2019-10-01,2019,10,Q4
2019-09-30,0.06269999999999999,0.44,2019-07-01,2019,7,Q3
2019-06-30,0.0791,0.52,2019-04-01,2019,4,Q2
2019-03-31,0.0803,0.5,2019-01-01,2019,1,Q1
2018-12-31,0.0591,0.38,2018-10-01,2018,10,Q4
