quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.2214,0.85,2021-01-01,2021,1,Q1
2020-12-31,0.2472,0.93,2020-10-01,2020,10,Q4
2020-09-30,0.2029,0.76,2020-07-01,2020,7,Q3
2020-06-30,0.15050000000000002,0.55,2020-04-01,2020,4,Q2
2020-03-31,0.052199999999999996,0.19,2020-01-01,2020,1,Q1
2019-12-31,0.0917,0.32,2019-10-01,2019,10,Q4
2019-09-30,0.0776,0.25,2019-07-01,2019,7,Q3
2019-06-30,0.0483,0.15,2019-04-01,2019,4,Q2
2019-03-31,0.0369,0.1,2019-01-01,2019,1,Q1
2018-12-31,-0.0481,-0.14,2018-10-01,2018,10,Q4
