,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1997-06-01,3.08,actual,2.0,1997,24.0,0.0187,0.023998333333333337
1,1997-07-01,2.92,actual,3.0,1997,24.0,0.0187,0.022751666666666667
2,1997-08-01,2.99,actual,3.0,1997,24.0,0.0187,0.023297083333333336
3,1997-09-01,2.44,actual,3.0,1997,24.0,0.0187,0.019011666666666666
4,1997-10-01,2.43,actual,4.0,1997,24.0,0.0187,0.018933750000000003
5,1997-11-01,2.22,actual,4.0,1997,24.0,0.0187,0.017297500000000004
6,1997-12-01,2.75,actual,4.0,1997,24.0,0.0187,0.021427083333333336
7,1998-01-01,2.59,actual,1.0,1998,24.0,-0.11900000000000001,-0.12842083333333332
8,1998-02-01,2.17,actual,1.0,1998,24.0,-0.11900000000000001,-0.10759583333333335
9,1998-03-01,2.34,actual,1.0,1998,24.0,-0.11900000000000001,-0.116025
10,1998-04-01,2.39,actual,2.0,1998,24.0,-0.11900000000000001,-0.11850416666666669
11,1998-05-01,2.35,actual,2.0,1998,24.0,-0.11900000000000001,-0.11652083333333334
12,1998-06-01,2.57,actual,2.0,1998,24.0,-0.11900000000000001,-0.12742916666666665
13,1998-07-01,2.82,actual,3.0,1998,24.0,-0.11900000000000001,-0.139825
14,1998-08-01,3.2,actual,3.0,1998,24.0,-0.11900000000000001,-0.15866666666666668
15,1998-09-01,3.01,actual,3.0,1998,24.0,-0.11900000000000001,-0.14924583333333333
16,1998-10-01,2.77,actual,4.0,1998,24.0,-0.11900000000000001,-0.13734583333333333
17,1998-11-01,2.49,actual,4.0,1998,24.0,-0.11900000000000001,-0.12346250000000003
18,1998-12-01,2.58,actual,4.0,1998,24.0,-0.11900000000000001,-0.127925
19,1999-01-01,2.63,actual,1.0,1999,24.0,-0.0038,-0.004164166666666667
20,1999-02-01,1.94,actual,1.0,1999,24.0,-0.0038,-0.003071666666666667
21,1999-03-01,2.34,actual,1.0,1999,24.0,-0.0038,-0.0037049999999999995
22,1999-04-01,2.38,actual,2.0,1999,24.0,-0.0038,-0.0037683333333333336
23,1999-05-01,2.18,actual,2.0,1999,24.0,-0.0038,-0.0034516666666666676
24,1999-06-01,2.29,actual,2.0,1999,24.0,-0.0038,-0.003625833333333333
25,1999-07-01,2.28,actual,3.0,1999,24.0,-0.0038,-0.00361
26,1999-08-01,2.83,actual,3.0,1999,24.0,-0.0038,-0.004480833333333333
27,1999-09-01,2.7,actual,3.0,1999,24.0,-0.0038,-0.004275
28,1999-10-01,2.34,actual,4.0,1999,24.0,-0.0038,-0.0037049999999999995
29,1999-11-01,2.32,actual,4.0,1999,24.0,-0.0038,-0.0036733333333333327
30,1999-12-01,3.03,actual,4.0,1999,24.0,-0.0038,-0.0047975
