,Year,EPS,max_stock_price,avg_stock_price,min_stock_price
0,1997,0.26299546787523304,6.653785337243396,4.786517515329241,2.272280842442014
1,1998,0.8968648360437212,22.69068035190615,16.322940015995727,7.748912183417752
2,1999,0.513554252199413,12.992922580645148,9.346687390029317,4.4371087390029285
3,2000,0.9699917355371896,24.540790909090898,17.65384958677685,8.380728595041319
4,2001,0.5660351906158354,14.320690322580637,10.301840469208203,4.890544046920819
5,2002,0.722724606771527,18.28493255131963,13.15358784324179,6.244340602505993
6,2003,1.125167955211943,28.466749266862156,20.478056784857362,9.721451133031188
7,2004,1.2470218608371095,31.54965307917887,22.69579786723539,10.774268877632627
8,2005,1.309839242868568,33.13893284457477,23.839074220207934,11.317011058384427
9,2006,0.9022593974940009,22.827162756598224,16.421121034390815,7.795521194348168
10,2007,1.6290562516662217,41.21512316715541,29.648823780325234,14.075046014396156
11,2008,2.748371101039723,69.533788856305,50.02035403892295,23.745926312983208
12,2009,2.538677685950413,64.22854545454545,46.20393388429752,21.93417520661157
13,2010,2.8183244468141826,71.30360850439882,51.293504932018124,24.35032322047454
14,2011,3.2521650226606234,82.27977507331377,59.189403412423346,28.098705795787787
15,2012,3.1209133564382823,78.95910791788855,56.80062308717674,26.964691399626762
16,2013,9.167446547587309,231.93639765395892,166.847527166089,79.20673817115436
17,2014,10.982293788323116,277.8520328445748,199.8777469474807,94.88701833111172
18,2015,10.284305518528392,260.1929296187683,187.1743604372167,88.8563996800853
19,2016,8.343892561983472,211.10048181818183,151.85884462809918,72.09123173553719
20,2017,5.495955211943483,139.0476668621701,100.02638485737138,47.4850530311917
21,2018,7.8861599573447085,199.51984692082112,143.52811122367368,68.13642203145828
22,2019,9.584431351639564,242.48611319648097,174.43665059984005,82.80948687816584
23,2020,13.187339376166356,333.63968621700883,240.00957664622769,113.93861221007732
24,2021,16.74380973154925,423.618386208196,304.7373371141963,144.66651608058552
25,2022,17.186896307540408,434.82847658077236,312.80151279723543,148.49478409714914
26,2023,18.330122489944145,463.7520989955869,333.60822931698345,158.3722583131174
27,2024,19.042936114254193,481.7862836906311,346.58143727942627,164.53096802715623
28,2025,20.669748760622717,522.9446436437547,376.18942744333344,178.5866292917803
29,2026,21.8136580753064,551.885549305252,397.0085769705765,188.4700057706473
30,2027,22.956884257710595,580.8091717200781,417.8152934903328,198.34747998661956
31,2028,23.669697882021584,598.8433564151461,430.7885014527928,204.5061897006665
32,2029,25.296510528387007,640.0017163681913,460.3964916166435,218.56185096526374
33,2030,26.440419843070124,668.9426220296741,481.21564114387627,228.4452274441259
34,2031,27.583646025475016,697.866244444518,502.02235766364527,238.32270166010414
35,2032,28.296459649786538,715.9004291395994,514.995565626115,244.4814113741557
36,2033,29.92327229615296,757.0587890926698,544.6035557899838,258.5370726387616
37,2034,31.06718161083732,785.9996947541842,565.4227053172392,268.42044911763446
38,2035,32.210407793242155,814.9233171690265,586.2294218370072,278.29792333361223
39,2036,32.92322141755252,832.9575018640787,599.2026297994558,284.4566330476538
40,2037,34.55003406391829,874.1158618171328,628.8106199633129,298.512294312254
41,2038,35.69394337860383,903.0567674786769,649.6297694905896,308.3956707911371
42,2039,36.83716956100696,931.9803898934761,670.4364860103267,318.27314500710014
43,2040,37.54998318531753,950.0145745885335,683.409693972779,324.43185472114345
44,2041,20.115291298807563,508.91686985983137,366.09830163829764,173.79611682169735
