,Year,EPS,max_stock_price,avg_stock_price,min_stock_price
0,1997,0.2038929365079362,3.9963015555555494,2.4671045317460276,1.143839373809522
1,1998,0.24085238095238043,4.720706666666657,2.914313809523803,1.3511818571428542
2,1999,0.28554047619047573,5.596593333333325,3.4550397619047564,1.6018820714285689
3,2000,-0.4565338888888885,-8.948064222222216,-5.524060055555551,-2.5611551166666646
4,2001,0.3402433333333327,6.668769333333321,4.1169443333333255,1.9087650999999963
5,2002,0.4248261904761899,8.326593333333323,5.140396904761897,2.3832749285714256
6,2003,-0.38879142857142807,-7.62031199999999,-4.70437628571428,-2.1811199142857114
7,2004,-1.4869206349206348,-29.143644444444444,-17.99173968253968,-8.341624761904761
8,2005,-1.0237460317460312,-20.065422222222214,-12.387326984126977,-5.743215238095235
9,2006,-1.5248380952380947,-29.886826666666657,-18.450540952380944,-8.554341714285712
10,2007,-1.5599690476190473,-30.57539333333333,-18.87562547619047,-8.751426357142856
11,2008,-1.352309523809524,-26.50526666666667,-16.36294523809524,-7.58645642857143
12,2009,-0.30342492063492,-5.947128444444433,-3.6714415396825317,-1.7022138047619013
13,2010,-0.2658206349206343,-5.2100844444444325,-3.2164296825396748,-1.4912537619047586
14,2011,0.0117608095238087,0.23051186666665055,0.14230579523808526,0.06597814142856681
15,2012,1.034738095238095,20.28086666666666,12.520330952380949,5.804880714285713
16,2013,2.980753968253968,58.42277777777778,36.067123015873015,16.72202976190476
17,2014,3.6625396825396823,71.78577777777778,44.31673015873015,20.546847619047618
18,2015,5.587357142857142,109.51219999999999,67.60702142857141,31.345073571428568
19,2016,6.829523809523811,133.8586666666667,82.6372380952381,38.31362857142858
20,2017,8.259619047619047,161.88853333333333,99.94139047619046,46.336462857142855
21,2018,7.542333333333333,147.82973333333334,91.26223333333333,42.31249
22,2019,7.964952380952382,156.1130666666667,96.37592380952381,44.68338285714287
23,2020,12.061715873015874,236.40963111111114,145.9467620634921,67.66622604761906
24,2021,15.602637877508664,305.81170239916986,188.79191831785482,87.5307984928236
25,2022,16.168700187711888,316.90652367915305,195.64127227131385,90.7064080530637
26,2023,17.47929488739416,342.59417979292556,211.49946813746934,98.05884431828125
27,2024,18.636512996028966,365.27565472216776,225.50180725195048,104.55083790772251
28,2025,20.13385530021103,394.6235638841363,243.61964913255346,112.95092823418389
29,2026,21.444777336093537,420.31763578743335,259.4818057667318,120.30520085548476
30,2027,22.755372035775828,446.00529190120625,275.3400016328875,127.6576371207024
31,2028,23.91259014441115,468.6867668304586,289.3423407473749,134.14963071014657
32,2029,25.40993244859204,498.03467599240406,307.4601826279637,142.54972103660137
33,2030,26.720854484474177,523.7287478956939,323.3223392621375,149.90399365790014
34,2031,28.031449184156855,549.4164040094744,339.18053512829795,157.25642992311998
35,2032,29.188667292792488,572.0978789387328,353.18287424278907,163.74842351256586
36,2033,30.686009596973708,601.4457881006847,371.30071612338185,172.1485138390225
37,2034,31.996931632856406,627.1398600039856,387.16287275756247,179.50278646032444
38,2035,33.30752633253903,652.827516117765,403.0210686237222,186.85522272554394
39,2036,34.46474444117412,675.5089910470127,417.02340773820686,193.3472163149868
40,2037,35.96208674535504,704.8569002089588,435.14124961879594,201.74730664144178
41,2038,37.27300878123815,730.5509721122677,451.00340625298156,209.10157926274601
42,2039,38.58360348092009,756.2386282260338,466.86160211913307,216.4540155279617
43,2040,39.74082158955529,778.9201031552838,480.86394123361896,222.94600911740517
44,2041,21.58506406730186,423.06725571911653,261.1792752143525,121.09220941756345
