quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.1318,5.84,2021-01-01,2021,1,Q1
2020-12-31,0.0983,3.72,2020-10-01,2020,10,Q4
2020-09-30,0.043,1.01,2020-07-01,2020,7,Q3
2020-06-30,0.0311,0.61,2020-04-01,2020,4,Q2
2020-03-31,0.1186,3.28,2020-01-01,2020,1,Q1
2019-12-31,0.1438,5.58,2019-10-01,2019,10,Q4
2019-09-30,0.1463,4.79,2019-07-01,2019,7,Q3
2019-06-30,0.10550000000000001,2.91,2019-04-01,2019,4,Q2
2019-03-31,0.1037,3.33,2019-01-01,2019,1,Q1
2018-12-31,0.127,4.78,2018-10-01,2018,10,Q4
